name;mass;orbital_period
K2-266 b;0.0355;0.658524
K2-266 c;0.00091;7.814
K2-266 d;0.028;14.697
K2-266 e;0.04499;19.482
K2-27 b;0.09722;6.771315
K2-280 b;0.1167;19.895202
K2-285 b;0.03046;3.471745
K2-285 c;0.04933;7.138048
K2-285 d;0.02045;10.45582
K2-285 e;0.03367;14.76289
K2-286 b;0.0214;27.359
K2-287 b;0.315;14.893291
K2-289 b;0.1529;13.156969
K2-29 b;0.73;3.2588321
K2-290 b;0.0343;9.21165
K2-290 c;0.774;48.36685
K2-291 b;0.02042;2.225177
K2-292 b;0.07709;16.9841
K2-295 b;0.335;4.024867
K2-3 b;0.02039;10.054626
K2-3 c;0.00673;24.646582
K2-3 d;0.00881;44.55646
K2-30 b;0.579;4.098503
K2-308 b;0.025;3.38628
K2-31 b;1.774;1.25785
K2-32 b;0.047;8.991828
K2-32 c;0.0255;20.66186
K2-32 d;0.0211;31.7142
K2-32 e;0.0066;4.34882
K2-33 b;3.7;5.424865
K2-34 b;1.78;2.995633
K2-36 b;0.01227;1.422614
K2-36 c;0.02454;5.3410507
K2-38 b;0.06;4.01593
K2-38 c;0.03115;10.56103
K2-39 b;0.09;4.60543
K2-52 b;0.4046;3.535055
K2-53 b;0.0289;12.20772
K2-55 b;0.138;2.849258
K2-60 b;0.426;3.00265
K2-66 b;0.06702;5.06963
K2-77 b;1.9;8.199796
K2-79 b;0.0371;10.99475
K2-87 b;0.1192;9.726618
K2-90 b;0.028;13.733314
K2-95 b;1.67;10.134016
K2-97 b;1.1;8.406726
K2-98 b;0.101;10.136448
K2-99 b;0.97;18.251985
KELT-1 b;27.23;1.217514
KELT-10 b;0.679;4.166285
KELT-11 b;0.195;4.736529
KELT-12 b;0.95;5.0316144
KELT-15 b;0.92;3.329441
KELT-16 b;2.75;0.9689951
KELT-17 b;1.31;3.0801716
KELT-18 b;1.18;2.8717518
KELT-19 A b;4.07;4.6117093
KELT-2 A b;1.486;4.1137914
KELT-21 b;3.91;3.6127647
KELT-22A b;3.69;1.38665318
KELT-23A b;0.938;2.255251
KELT-25 b;21.0;4.401131
KELT-3 b;1.418;2.7033902
KELT-4 A b;0.884;2.9895933
KELT-6 b;0.442;7.845582
KELT-7 b;1.24;2.734784
KELT-8 b;0.874;3.24406
KIC 5095269 (AB) b;7.698;237.70817
KIC 7917485 b;11.8;840.0
KOI-12 b;1.1;17.855182
KOI-1257 b;1.45;86.647661
KOI-13 b;9.28;1.763588
KOI-142 b;0.03;10.91647
KOI-142 c;0.674;22.26492
KOI-1599.01;0.01447;20.4415
KOI-1599.02;0.02832;13.6088
KOI-2700 b;0.00271;0.910022
KOI-3680 b;1.93;141.241671
KOI-415 b;62.14;166.78805
KOI-55 b;0.0014;0.240104
KOI-55 c;0.0021;0.342887
KOI-984 b;0.0544;4.2881785
KPS-1 b;1.09;1.706291
Kepler-10 b;0.0145;0.837491
Kepler-10 c;0.02319;45.2946
Kepler-101 b;0.16;3.4876812
Kepler-101 c;0.01;6.02976
Kepler-105 b;0.016;5.4122
Kepler-105 c;0.01447;7.1262
Kepler-107 b;0.01104;3.1800218
Kepler-107 c;0.02954;4.901452
Kepler-107 d;0.01196;7.95839
Kepler-107 e;0.02706;14.749143
Kepler-11 b;0.006;10.3039
Kepler-11 c;0.009;13.0241
Kepler-11 d;0.023;22.6845
Kepler-11 e;0.025;31.9996
Kepler-11 f;0.006;46.6888
Kepler-11 g;0.079;118.3807
Kepler-114 b;0.022;5.188549
Kepler-117 b;0.094;18.7959228
Kepler-117 c;1.84;50.790391
Kepler-12 b;0.432;4.4379629
Kepler-138 b;0.00021;10.3126
Kepler-138 c;0.0062;13.7813
Kepler-138 d;0.00201;23.0881
Kepler-14 b;8.4;6.790123
Kepler-15 b;0.66;4.942782
Kepler-150 f;0.0283;637.2093
Kepler-1514 b;5.28;217.83184
Kepler-1520 b;6.3e-05;0.65355357
Kepler-16 (AB) b;0.333;228.776
Kepler-160 d;0.31463;30.0
Kepler-1625 b;11.6;287.378949
Kepler-1647 (AB) b;1.52;1107.5923
Kepler-1654 b;0.5;1047.8356
Kepler-1655 b;0.01573;11.8728787
Kepler-1658 b;5.88;3.84937278
Kepler-1661 (AB) b;0.053;175.06
Kepler-167 d;0.006;21.803855
Kepler-167 e;4.0;1071.23228
Kepler-17 b;2.45;1.4857108
Kepler-1705 b;0.01406;9.03502
Kepler-1705 c;0.01705;11.28
Kepler-177 b;0.01837;35.8601
Kepler-177 c;0.04625;49.40926
Kepler-18 b;0.022;3.504725
Kepler-18 c;0.054;7.64159
Kepler-18 d;0.052;14.85888
Kepler-19 b;0.02643;9.28716
Kepler-19 c;0.04122;28.731
Kepler-19 d;0.07079;62.95
Kepler-197 c;0.017;10.349695
Kepler-20 b;0.03052;3.69611525
Kepler-20 c;0.04012;10.85409089
Kepler-20 d;0.03168;77.61130017
Kepler-20 e;0.0097;6.09852281
Kepler-20 f;0.045;19.57758478
Kepler-21 b;0.01598;2.78578
Kepler-22 b;0.113;289.8623
Kepler-223 b;0.02328;7.38449
Kepler-223 c;0.01605;9.84564
Kepler-223 d;0.02517;14.78869
Kepler-223 e;0.0151;19.72567
Kepler-23 d;0.055;15.274299
Kepler-25 b;0.0275;6.238297
Kepler-25 c;0.0479;12.7207
Kepler-25 d;0.226;122.4
Kepler-26 b;0.01611;12.28
Kepler-26 c;0.01951;17.2559
Kepler-278 b;0.176;30.160546
Kepler-278 c;0.1098;51.078775
Kepler-289 b;0.023;34.545
Kepler-289 c;0.42;125.8518
Kepler-289 d;0.013;66.0634
Kepler-29 b;0.01573;10.33974
Kepler-29 c;0.01416;13.28613
Kepler-30 b;0.036;29.33434
Kepler-30 c;2.01;60.323105
Kepler-30 d;0.073;143.34394
Kepler-307 b;0.02341;10.4208
Kepler-307 c;0.01145;13.0729
Kepler-31 c;4.7;42.6318
Kepler-31 d;6.8;87.6451
Kepler-32 b;4.1;5.90124
Kepler-32 c;0.5;8.7522
Kepler-338 b;0.0963;13.726976
Kepler-34 (AB) b;0.22;288.822
Kepler-35 (AB) b;0.1268;131.458
Kepler-36 b;0.01205;13.86825
Kepler-36 c;0.02243;16.21865
Kepler-37 b;0.01;13.36731
Kepler-38 (AB) b;0.38;105.595
Kepler-39 b;20.1;21.08721
Kepler-391 c;1.416;20.485435
Kepler-4 b;0.077;3.21346
Kepler-40 b;2.2;6.87349
Kepler-407 c;12.6;3000.0
Kepler-41 b;0.56;1.8555582
Kepler-411 b;0.08055;3.005156
Kepler-411 c;0.08306;7.834435
Kepler-411 d;0.04782;58.02035
Kepler-411 e;0.03398;31.509728
Kepler-412 b;0.941;1.7208604
Kepler-418 b;1.1;86.67856
Kepler-419 b;2.5;69.7546
Kepler-419 c;7.3;675.47
Kepler-42 b;0.009;1.2137672
Kepler-42 c;0.006;0.45328509
Kepler-42 d;0.003;1.865169
Kepler-422 b;0.43;7.8914483
Kepler-423 b;0.595;2.6843285
Kepler-424 b;1.03;3.3118644
Kepler-425 b;0.25;3.79701816
Kepler-426 b;0.34;3.21751883
Kepler-427 b;0.29;10.290994
Kepler-428 b;1.27;3.52563254
Kepler-43 b;3.23;3.0240949
Kepler-432 b;5.41;52.501129
Kepler-433 b;2.82;5.33408384
Kepler-434 b;2.86;12.8747099
Kepler-435 b;0.84;8.6001536
Kepler-44 b;1.0;3.2467293
Kepler-445 b;0.02;2.984151
Kepler-445 c;0.027;4.871229
Kepler-445 d;0.011;8.15275
Kepler-446 b;0.014;1.565409
Kepler-446 c;0.009;3.036179
Kepler-446 d;0.01;5.148921
Kepler-447 b;1.37;7.79430132
Kepler-448 c;22.0;2500.0
Kepler-45 b;0.505;2.455239
Kepler-453 (AB) b;0.03;240.503
Kepler-454 b;0.01905;10.57
Kepler-46 b;6.0;33.60134
Kepler-46 c;0.376;57.011
Kepler-462 b;0.16959;84.6866
Kepler-462 c;0.01888;207.62
Kepler-47 (AB) d;0.05984;187.35
Kepler-48 e;2.067;982.0
Kepler-49 b;0.98;7.2037945
Kepler-49 c;0.72;10.9129343
Kepler-492 b;39.9;11.72012266
Kepler-5 b;2.111;3.5484657
Kepler-50 b;0.1;7.81254
Kepler-50 c;0.11;9.37647
Kepler-51 b;0.007;45.154
Kepler-51 c;0.013;85.312
Kepler-51 d;0.024;130.194
Kepler-52 b;8.7;7.8773565
Kepler-52 c;10.41;16.3850021
Kepler-53 b;18.41;18.6489525
Kepler-53 c;15.74;38.5583038
Kepler-538 b;0.03335;81.73778
Kepler-539 b;0.97;125.63243
Kepler-539 c;2.4;1000.0
Kepler-54 b;0.92;8.0109434
Kepler-54 c;0.37;12.0717249
Kepler-55 b;1.49;27.9481449
Kepler-55 c;1.11;42.1516418
Kepler-56 b;0.07;10.5016
Kepler-56 c;0.57;21.40239
Kepler-57 b;18.86;5.7293196
Kepler-57 c;6.95;11.6092567
Kepler-58 b;1.39;10.2184954
Kepler-58 c;2.19;15.5741568
Kepler-59 b;2.05;11.8681707
Kepler-59 c;1.37;17.9801235
Kepler-595 b;0.05475;25.3029092
Kepler-595 c;0.01038;12.38602
Kepler-6 b;0.668;3.2346996
Kepler-60 b;0.01318;7.1334
Kepler-60 c;0.01211;8.9187
Kepler-60 d;0.01309;11.8981
Kepler-62 b;0.03;5.714932
Kepler-62 c;0.013;12.4417
Kepler-62 d;0.044;18.16406
Kepler-62 e;0.113;122.3874
Kepler-62 f;0.11;267.291
Kepler-63 b;0.378;9.4341505
Kepler-64 (AB) b;0.53;138.506
Kepler-65 e;0.82;258.8
Kepler-66 b;0.047;17.815815
Kepler-67 b;0.047;15.7259
Kepler-7 b;0.441;4.8854892
Kepler-74 b;0.63;7.340711
Kepler-75 b;10.1;8.8849116
Kepler-76 b;2.01;1.5449298
Kepler-77 b;0.43;3.57878087
Kepler-78 b;0.00619;0.35500744
Kepler-79 b;0.0343;13.4845
Kepler-79 c;0.019;27.4029
Kepler-79 d;0.019;52.0902
Kepler-79 e;0.013;81.0659
Kepler-8 b;0.59;3.5224991
Kepler-80 b;0.0218;7.05246
Kepler-80 c;0.02121;9.52355
Kepler-80 d;0.02124;3.07222
Kepler-80 e;0.01299;4.64489
Kepler-82 b;0.03823;26.44
Kepler-82 c;0.04373;51.54
Kepler-82 f;0.06576;75.732
Kepler-86 b;0.34235;282.5254
Kepler-87 b;1.02;114.73635
Kepler-87 c;0.02;191.2318
Kepler-88 d;3.05;1403.0
Kepler-89 b;0.033;3.743208
Kepler-89 c;0.049;10.423648
Kepler-89 d;0.334;22.342989
Kepler-89 e;0.11;54.32031
Kepler-9 b;0.13655;19.23891
Kepler-9 c;0.09408;38.9853
Kepler-9 d;0.016518264481;1.592851
Kepler-91 b;0.81;6.24658
Kepler-93 b;0.0143;4.72674
Kepler-94 c;9.836;820.3
L 168-9 b;0.0145;1.4015
L 98-59 b;0.0013;2.2531136
L 98-59 c;0.00698;3.6906777
L 98-59 d;0.0061;7.4507245
LHS 1140 b;0.02196;24.736
LHS 1140 c;0.00569;3.777931
LHS 1478 b;0.00733;1.9495378
LHS 1678 b;0.00019;0.8602322
LHS 1678 c;0.00123;3.694237
LHS 1815 b;0.0132;3.81433
LHS 2397a B;64.0;5194.0
LKCA 15 b;6.0;40000.0
LP 714-47 b;0.0969;4.052037
LTT 1445A b;0.00903;5.3587657
LTT 1445A c;0.00485;3.1239035
LTT 3780 b;0.00982;0.7683881
LTT 3780 c;0.0267;12.252048
LTT 9779 b;0.09225;0.792052
