# name;mass;orbital_period;discovered;radius;semi_major_axis;star_distance;star_teff;method;star_name
EPIC 212737443 c;0.0303;65.55;2019;0.24;0.28;347.45;4684.0;Primary Transit;EPIC 212737443
EPIC 219388192 b;36.0;5.292569;2016;0.846;0.0593;300.0;5850.0;Primary Transit;EPIC 219388192
EPIC 220554210 c;;0.70531;2019;0.132;;502.28;;Primary Transit;K2-282
EPIC 220674823 b;0.0263;0.571331;2016;0.162;0.0134;246.1;5617.0;Primary Transit;EPIC 220674823
EPIC 220674823 c;0.018;13.339079;2016;0.244;0.1091;246.1;5617.0;Primary Transit;EPIC 220674823
EPIC 246193072 b;0.26;12.4551225;2020;0.774;0.1016;230.4;5282.0;Primary Transit;EPIC 246193072
EPIC 246851721 b;3.0;6.180235;2018;1.051;0.07229;376.0;6189.0;Primary Transit;EPIC 246851721
EPIC 249893012 b;0.02753;3.5951;2020;0.174;0.047;324.7;5430.0;Primary Transit;EPIC 249893012
EPIC 249893012 c;0.04616;15.624;2020;0.3274;0.13;324.7;5430.0;Primary Transit;EPIC 249893012
EPIC 249893012 d;0.03203;35.747;2020;0.3515;0.22;324.7;5430.0;Primary Transit;EPIC 249893012
FL Lyr b;;4400.0;2015;;;138.0;;Timing;FL Lyr
CWISEP J1935-1546;11.0;;2019;;;10.1;;Imaging;
DH Tau b;11.0;;2005;;330.0;;;Imaging;DH Tau
Fomalhaut b;0.208;320000.0;2008;;117.0;7.704;8590.0;Imaging;Fomalhaut
G 264-012 b;;2.30538;2021;;0.02279;15.986;3326.0;Radial Velocity;G 264-012
G 264-012 c;;8.0518;2021;;0.0525;15.986;3326.0;Radial Velocity;G 264-012
G 9-40 b;0.016;5.746007;2019;0.181;0.0385;27.93;3348.0;Primary Transit;G 9-40
FU Tau b;15.0;;2009;;800.0;140.0;2838.0;Imaging;FU Tau
GJ 1061 b;;3.204;2019;;0.021;3.6732;2953.0;Radial Velocity;GJ 1061
GJ 1061 c;;6.689;2019;;0.035;3.6732;2953.0;Radial Velocity;GJ 1061
GJ 1061 d;;12.434;2019;;0.052;3.6732;2953.0;Radial Velocity;GJ 1061
GJ 1132 b;0.00522;1.628931;2015;0.1035;0.0154;12.04;3270.0;Primary Transit;GJ 1132
GJ 1132 c;;8.929;2018;;0.0476;12.04;3270.0;Radial Velocity;GJ 1132
GJ 1214 b;0.02571;1.580404497;2009;0.24463;0.01411;13.0;3026.0;Primary Transit;GJ 1214
GJ 1252 b;0.00658;0.5182349;2018;0.10643;0.00916;20.38;3458.0;Primary Transit;GJ 1252
GJ 1265 b;;3.6511;2018;;0.026;10.255;3236.0;Radial Velocity;GJ 1265
GJ 143 b;0.0714;35.61253;2018;0.2329;0.1932;16.33;4640.0;Primary Transit;GJ 143
GJ 143 c;0.01164;7.78993;2018;0.07958;0.0695;16.33;4640.0;Primary Transit;GJ 143
GJ 15A b;;11.4407;2014;;0.072;3.587;3567.0;Radial Velocity;GJ 15A
GJ 160.2 b;;9.7471;2014;;0.079;;4347.0;Radial Velocity;GJ 160.2
GJ 163 b;;8.6312;2012;;0.06;15.0;;Radial Velocity;GJ 163
GJ 163 c;;25.637;2012;;0.124;15.0;;Radial Velocity;GJ 163
GJ 163 d;;604.0;2013;;1.021;15.0;;Radial Velocity;GJ 163
GJ 163 e;;349.0;2019;;0.7;15.0;;Radial Velocity;GJ 163
GJ 163 f;;109.5;2019;;0.326;15.0;;Radial Velocity;GJ 163
GJ 176 b;;8.7748;2007;;0.066;9.42;;Radial Velocity;GJ 176
GJ 176 c;;28.586;2009;;0.146;9.42;;Radial Velocity;GJ 176
