# name;mass;orbital_period;discovered;radius;semi_major_axis;star_distance;star_teff;method;star_name
Kepler-707 b;;2.23749275;2016;0.119;;626.0;5099.0;Primary Transit;Kepler-707
Kepler-708 b;;3.16789194;2016;0.261;;1241.0;5692.0;Primary Transit;Kepler-708
Kepler-709 b;;16.08524954;2016;0.261;;668.0;5071.0;Primary Transit;Kepler-709
Kepler-710 b;;4.34728553;2016;0.168;;919.0;5611.0;Primary Transit;Kepler-710
Kepler-711 b;;23.58914398;2016;0.304;;664.0;5222.0;Primary Transit;Kepler-711
Kepler-712 b;;21.02247699;2016;0.304;;944.0;5148.0;Primary Transit;Kepler-712
Kepler-712 c;;226.89047;2016;0.433;;944.0;5148.0;Primary Transit;Kepler-712
Kepler-713 b;;7.411141;2016;0.221;;1003.0;5785.0;Primary Transit;Kepler-713
Kepler-714 b;;8.09888799;2016;0.863;;1460.0;5995.0;Primary Transit;Kepler-714
Kepler-715 b;;10.00652995;2016;0.335;;1214.0;5871.0;Primary Transit;Kepler-715
Kepler-716 b;;10.37168453;2016;0.259;;675.0;5099.0;Primary Transit;Kepler-716
Kepler-716 c;;3.96999;2020;0.124;;675.0;5099.0;Primary Transit;Kepler-716
Kepler-717 b;;4.40840023;2016;0.216;;1126.0;5485.0;Primary Transit;Kepler-717
Kepler-718 b;;2.0523499;2016;1.477;;1520.0;6191.0;Primary Transit;Kepler-718
Kepler-719 b;;5.00731778;2016;0.76;;1427.0;5777.0;Primary Transit;Kepler-719
Kepler-720 b;;4.70832654;2016;0.75;;880.0;5618.0;Primary Transit;Kepler-720
Kepler-721 b;;5.39202539;2016;0.236;;848.0;5075.0;Primary Transit;Kepler-721
Kepler-722 b;;4.09357325;2016;0.235;;1375.0;5863.0;Primary Transit;Kepler-722
Kepler-722 c;;105.144749;2016;0.252;;1375.0;5863.0;Primary Transit;Kepler-722
Kepler-723 b;;4.08227507;2016;1.088;;965.0;5539.0;Primary Transit;Kepler-723
Kepler-724 b;;3.31494634;2016;0.294;;862.0;5437.0;Primary Transit;Kepler-724
Kepler-725 b;;39.64317811;2016;0.948;;778.0;5363.0;Primary Transit;Kepler-725
Kepler-726 b;;21.80451088;2016;0.291;;838.0;5452.0;Primary Transit;Kepler-726
Kepler-727 b;;5.15448442;2016;0.226;;892.0;5441.0;Primary Transit;Kepler-727
Kepler-728 b;;5.74347727;2016;0.298;;1236.0;5660.0;Primary Transit;Kepler-728
Kepler-729 b;;3.16635371;2016;0.319;;1271.0;5633.0;Primary Transit;Kepler-729
Kepler-730 b;;6.49168281;2016;1.1;0.0694;2020.2;5620.0;Primary Transit;Kepler-730
Kepler-730 c;;2.85188338;2018;0.14;0.03997;2020.2;5620.0;Primary Transit;Kepler-730
Kepler-731 b;;3.85560355;2016;1.238;;1311.0;5849.0;Primary Transit;Kepler-731
Kepler-732 b;;9.46781405;2016;0.194;;150.0;3631.0;Primary Transit;Kepler-732
Kepler-732 c;;0.89304124;2016;0.113;;150.0;3631.0;Primary Transit;Kepler-732
Kepler-733 b;;20.83424726;2016;0.252;;980.0;5418.0;Primary Transit;Kepler-733
Kepler-734 b;;6.10485286;2016;0.318;;553.0;5326.0;Primary Transit;Kepler-734
Kepler-735 b;;11.51516988;2016;0.263;;790.0;5107.0;Primary Transit;Kepler-735
Kepler-736 b;;3.60147201;2016;0.261;;1007.0;5217.0;Primary Transit;Kepler-736
Kepler-737 b;;28.59915399;2016;0.175;;195.0;3813.0;Primary Transit;Kepler-737
Kepler-738 b;;24.58721573;2016;0.223;;992.0;5327.0;Primary Transit;Kepler-738
Kepler-739 b;;12.53248465;2016;0.296;;1128.0;5601.0;Primary Transit;Kepler-739
Kepler-74 b;0.63;7.340711;2013;0.96;0.0781;1218.33;6000.0;Primary Transit;Kepler-74
Kepler-740 b;;3.58410122;2016;0.408;;1262.0;5438.0;Primary Transit;Kepler-740
Kepler-741 b;;7.03902374;2016;0.265;;1530.0;6129.0;Primary Transit;Kepler-741
Kepler-742 b;;8.36086824;2016;0.289;;499.0;4642.0;Primary Transit;Kepler-742
Kepler-743 b;;3.17926292;2016;0.108;;258.0;5486.0;Primary Transit;Kepler-743
Kepler-744 b;;12.06222443;2016;0.145;;486.0;5594.0;Primary Transit;Kepler-744
Kepler-745 b;;9.93143556;2016;0.193;;1199.0;5849.0;Primary Transit;Kepler-745
Kepler-746 b;;3.48159251;2016;0.099;;450.0;5418.0;Primary Transit;Kepler-746
Kepler-747 b;;35.61760587;2016;0.47;;855.0;5096.0;Primary Transit;Kepler-747
Kepler-748 b;;7.40742793;2016;0.225;;1271.0;5934.0;Primary Transit;Kepler-748
Kepler-749 b;;17.31716585;2016;0.277;;753.0;5009.0;Primary Transit;Kepler-749
Kepler-75 b;10.1;8.8849116;2013;1.05;0.0818;855.5;5200.0;Primary Transit;Kepler-75
Kepler-750 b;;9.42887179;2016;0.274;;1181.0;6160.0;Primary Transit;Kepler-750
Kepler-750 c;;4.08899022;2016;0.145;;1181.0;6160.0;Primary Transit;Kepler-750
Kepler-751 b;;17.44490636;2016;0.219;;748.0;5387.0;Primary Transit;Kepler-751
Kepler-752 b;;18.82747265;2016;0.251;;1075.0;5373.0;Primary Transit;Kepler-752
Kepler-753 b;;5.74772501;2016;0.17;;278.0;4346.0;Primary Transit;Kepler-753
Kepler-754 b;;14.5596237;2016;0.179;;1192.0;5935.0;Primary Transit;Kepler-754
Kepler-755 b;;1.26909037;2016;0.157;;368.0;5043.0;Primary Transit;Kepler-755
Kepler-755 c;;2.85313364;2016;0.112;;368.0;5043.0;Primary Transit;Kepler-755
Kepler-756 b;;1.22486632;2016;0.1;;852.0;5282.0;Primary Transit;Kepler-756
Kepler-757 b;;1.02267882;2016;0.121;;1016.0;6014.0;Primary Transit;Kepler-757
Kepler-758 b;;12.1097104;2016;0.221;;1353.0;6228.0;Primary Transit;Kepler-758
Kepler-758 c;;4.75793986;2016;0.151;;1353.0;6228.0;Primary Transit;Kepler-758
Kepler-758 d;;20.4966197;2016;0.189;;1353.0;6228.0;Primary Transit;Kepler-758
Kepler-758 e;;8.1934719;2016;0.136;;1353.0;6228.0;Primary Transit;Kepler-758
Kepler-759 b;;41.805985;2016;0.203;;892.0;5860.0;Primary Transit;Kepler-759
Kepler-76 b;2.01;1.5449298;2013;1.36;0.0274;842.87;6409.0;Default;Kepler-76
Kepler-760 b;;8.70419416;2016;0.273;;782.0;5322.0;Primary Transit;Kepler-760
Kepler-760 c;;2.46697439;2016;0.132;;782.0;5322.0;Primary Transit;Kepler-760
Kepler-761 b;;10.12804789;2016;0.181;;867.0;5706.0;Primary Transit;Kepler-761
Kepler-762 b;;3.7705521;2016;1.131;;1465.0;5944.0;Primary Transit;Kepler-762
Kepler-763 b;;1.19655156;2016;0.109;;902.0;5166.0;Primary Transit;Kepler-763
Kepler-764 b;;7.33683936;2016;0.146;;1013.0;5557.0;Primary Transit;Kepler-764
Kepler-765 b;;27.6655226;2016;0.217;;1000.0;5901.0;Primary Transit;Kepler-765
Kepler-766 b;;6.10027804;2016;0.302;;1614.0;5992.0;Primary Transit;Kepler-766
Kepler-767 b;;161.5280101;2016;0.592;;1185.0;5694.0;Primary Transit;Kepler-767
Kepler-768 b;;11.3910025;2016;0.16;;795.0;5108.0;Primary Transit;Kepler-768
Kepler-769 b;;7.42608998;2016;0.261;;1362.0;6186.0;Primary Transit;Kepler-769
Kepler-769 c;;15.9870174;2016;0.16;;1362.0;6186.0;Primary Transit;Kepler-769
Kepler-77 b;0.43;3.57878087;2013;0.96;0.04501;570.0;5520.0;Primary Transit;Kepler-77
Kepler-770 b;;18.92540274;2016;0.205;;761.0;5598.0;Primary Transit;Kepler-770
Kepler-770 c;;1.47532231;2016;0.107;;761.0;5598.0;Primary Transit;Kepler-770
Kepler-770 d;;4.15244722;2016;0.125;;761.0;5598.0;Primary Transit;Kepler-770
Kepler-771 b;;8.73485836;2016;0.162;;1000.0;5906.0;Primary Transit;Kepler-771
Kepler-772 b;;12.99207337;2016;0.162;;689.0;5714.0;Primary Transit;Kepler-772
Kepler-773 b;;3.74910006;2016;0.128;;528.0;5850.0;Primary Transit;Kepler-773
Kepler-774 b;;11.0895723;2016;0.283;;1190.0;6403.0;Primary Transit;Kepler-774
Kepler-775 b;;0.97486893;2016;0.106;;400.0;5468.0;Primary Transit;Kepler-775
Kepler-776 b;;4.89718784;2016;0.114;;727.0;5071.0;Primary Transit;Kepler-776
Kepler-777 b;;5.72812599;2016;0.131;;383.0;4043.0;Primary Transit;Kepler-777
Kepler-778 b;;3.75574426;2016;0.15;;899.0;5102.0;Primary Transit;Kepler-778
Kepler-779 b;;7.09714223;2016;0.082;;224.0;3804.0;Primary Transit;Kepler-779
Kepler-78 b;0.00619;0.35500744;2013;0.1;0.01;124.82;5089.0;Primary Transit;Kepler-78
Kepler-780 b;;0.67737516;2016;0.079;;520.0;5769.0;Primary Transit;Kepler-780
Kepler-781 b;;13.2140732;2016;0.258;;1036.0;5162.0;Primary Transit;Kepler-781
Kepler-782 b;;158.6853308;2016;0.286;;412.0;5867.0;Primary Transit;Kepler-782
Kepler-783 b;;4.29264638;2016;0.07;;544.0;5521.0;Primary Transit;Kepler-783
Kepler-783 c;;7.05395;2020;0.208;;544.0;5521.0;Primary Transit;Kepler-783
Kepler-784 b;;31.5922646;2016;0.141;;604.0;5674.0;Primary Transit;Kepler-784
Kepler-785 b;;1.97376093;2016;1.162;;666.0;4739.0;Primary Transit;Kepler-785
Kepler-786 b;;53.5293487;2016;0.217;;512.0;4838.0;Primary Transit;Kepler-786
Kepler-787 b;;0.9283105;2016;0.114;;468.0;4248.0;Primary Transit;Kepler-787
Kepler-788 b;;8.39846269;2016;0.227;;1649.0;6159.0;Primary Transit;Kepler-788
Kepler-789 b;;8.63847725;2016;0.189;;915.0;5870.0;Primary Transit;Kepler-789
Kepler-79 b;0.0343;13.4845;2012;0.31;0.117;1051.43;6174.0;Primary Transit;Kepler-79
Kepler-79 c;0.019;27.4029;2012;0.332;0.187;1051.43;6174.0;Primary Transit;Kepler-79
Kepler-79 d;0.019;52.0902;2014;0.639;0.287;1051.43;6174.0;Primary Transit;Kepler-79
Kepler-79 e;0.013;81.0659;2014;0.311;0.386;1051.43;6174.0;Primary Transit;Kepler-79
Kepler-790 b;;13.73469807;2016;0.194;;727.0;5208.0;Primary Transit;Kepler-790
Kepler-791 b;;14.5539759;2016;0.272;;1447.0;6383.0;Primary Transit;Kepler-791
Kepler-792 b;;11.30119217;2016;0.175;;1205.0;5971.0;Primary Transit;Kepler-792
Kepler-793 b;;4.24153639;2016;0.122;;794.0;5745.0;Primary Transit;Kepler-793
Kepler-794 b;;11.13125132;2016;0.188;;763.0;5839.0;Primary Transit;Kepler-794
Kepler-795 b;;29.6193421;2016;0.15;;458.0;5631.0;Primary Transit;Kepler-795
Kepler-796 b;;6.40087618;2016;0.116;;377.0;5475.0;Primary Transit;Kepler-796
Kepler-797 b;;27.07237711;2016;0.194;;752.0;5680.0;Primary Transit;Kepler-797
Kepler-798 b;;13.71933369;2016;0.213;;1085.0;6224.0;Primary Transit;Kepler-798
Kepler-799 b;;133.4605235;2016;0.614;;1029.0;5681.0;Primary Transit;Kepler-799
Kepler-8 b;0.59;3.5224991;2010;1.416;0.0474;1052.9;6213.0;Primary Transit;Kepler-8
Kepler-80 b;0.0218;7.05246;2012;0.238;0.0648;357.0;4540.0;Primary Transit;Kepler-80
Kepler-80 c;0.02121;9.52355;2012;0.244;0.0792;357.0;4540.0;Primary Transit;Kepler-80
Kepler-80 d;0.02124;3.07222;2014;0.136;0.0372;357.0;4540.0;Primary Transit;Kepler-80
Kepler-80 e;0.01299;4.64489;2014;0.143;0.0491;357.0;4540.0;Primary Transit;Kepler-80
Kepler-80 f;;0.9867873;2016;0.108;0.0175;357.0;4540.0;Primary Transit;Kepler-80
Kepler-80 g;;14.64558;2017;0.101;0.14;357.0;4540.0;Primary Transit;Kepler-80
Kepler-800 b;;14.13176026;2016;0.254;;1049.0;5315.0;Primary Transit;Kepler-800
Kepler-801 b;;11.41928253;2016;0.178;;419.0;4435.0;Primary Transit;Kepler-801
Kepler-802 b;;40.0587473;2016;0.316;;828.0;5507.0;Primary Transit;Kepler-802
Kepler-803 b;;50.28638192;2016;0.338;;615.0;5919.0;Primary Transit;Kepler-803
Kepler-804 b;;14.37457351;2016;0.173;;648.0;5817.0;Primary Transit;Kepler-804
Kepler-804 c;;9.65185017;2016;0.102;;648.0;5817.0;Primary Transit;Kepler-804
Kepler-805 b;;30.8638931;2016;0.258;;657.0;6112.0;Primary Transit;Kepler-805
Kepler-806 b;;8.09219642;2016;0.102;;260.0;5770.0;Primary Transit;Kepler-806
Kepler-807 b;;117.93108781;2016;0.93;;1312.0;5965.0;Primary Transit;Kepler-807
Kepler-808 b;;0.63133235;2016;0.13;;321.0;4653.0;Primary Transit;Kepler-808
Kepler-809 b;;55.63934;2016;0.269;;933.0;5734.0;Primary Transit;Kepler-809
Kepler-81 b;;5.955;2012;0.216;0.056;351.79;4500.0;Primary Transit;Kepler-81
Kepler-81 c;;12.04;2012;0.211;0.089;351.79;4500.0;Primary Transit;Kepler-81
Kepler-81 d;;20.837846;2014;0.108;0.128;351.79;4500.0;Primary Transit;Kepler-81
Kepler-810 b;;4.59725385;2016;0.172;;1554.0;5803.0;Primary Transit;Kepler-810
Kepler-811 b;;23.58447697;2016;0.241;;847.0;5747.0;Primary Transit;Kepler-811
Kepler-812 b;;10.11716531;2016;0.317;;1482.0;6761.0;Primary Transit;Kepler-812
Kepler-813 b;;19.12947337;2016;0.191;;840.0;5743.0;Primary Transit;Kepler-813
Kepler-814 b;;6.1469851;2016;0.189;;1327.0;6162.0;Primary Transit;Kepler-814
Kepler-815 b;;8.57503552;2016;0.367;;1199.0;5028.0;Primary Transit;Kepler-815
Kepler-816 b;;10.50682565;2016;0.914;;1059.0;5286.0;Primary Transit;Kepler-816
Kepler-817 b;;3.99010623;2016;0.806;;1401.0;5861.0;Primary Transit;Kepler-817
Kepler-818 b;;10.03538581;2016;0.456;;967.0;5638.0;Primary Transit;Kepler-818
Kepler-819 b;;33.1995648;2016;0.246;;722.0;5279.0;Primary Transit;Kepler-819
Kepler-82 b;0.03823;26.44;2012;0.363;0.1683;927.97;5428.0;Primary Transit;Kepler-82
Kepler-82 c;0.04373;51.54;2012;0.476;0.2626;927.97;5428.0;Primary Transit;Kepler-82
Kepler-82 d;;2.382961;2014;0.158;0.034;927.97;5428.0;Primary Transit;Kepler-82
Kepler-82 e;;5.902206;2014;0.22;0.063;927.97;5428.0;Primary Transit;Kepler-82
Kepler-82 f;0.06576;75.732;2019;;0.3395;927.97;5428.0;TTV;Kepler-82
Kepler-820 b;;127.8338098;2016;0.543;;989.0;6260.0;Primary Transit;Kepler-820
Kepler-821 b;;1.92279873;2016;0.117;;619.0;5191.0;Primary Transit;Kepler-821
Kepler-822 b;;3.22296927;2016;0.158;;956.0;5928.0;Primary Transit;Kepler-822
Kepler-823 b;;4.16809082;2016;0.14;;896.0;5643.0;Primary Transit;Kepler-823
Kepler-824 b;;4.51436633;2016;0.167;;1352.0;6035.0;Primary Transit;Kepler-824
Kepler-825 b;;3.77360059;2016;0.136;;820.0;5976.0;Primary Transit;Kepler-825
Kepler-825 c;;8.1818246;2016;0.164;;820.0;5976.0;Primary Transit;Kepler-825
Kepler-826 b;;4.48758907;2016;0.112;;649.0;6079.0;Primary Transit;Kepler-826
Kepler-827 b;;51.92927591;2016;0.502;;1352.0;5602.0;Primary Transit;Kepler-827
Kepler-828 b;;0.56785714;2016;0.135;;625.0;5039.0;Primary Transit;Kepler-828
Kepler-829 b;;6.88337562;2016;0.188;;954.0;5698.0;Primary Transit;Kepler-829
Kepler-83 b;;9.77;2012;0.252;0.078;405.01;4648.0;Primary Transit;Kepler-83
Kepler-83 c;;20.09;2012;0.211;0.126;405.01;4648.0;Primary Transit;Kepler-83
Kepler-83 d;;5.169796;2014;0.173;0.051;405.01;4648.0;Primary Transit;Kepler-83
Kepler-830 b;;11.29695137;2016;0.152;;1122.0;6037.0;Primary Transit;Kepler-830
Kepler-831 b;;5.62153941;2016;0.113;;577.0;5732.0;Primary Transit;Kepler-831
Kepler-832 b;;7.1396941;2016;0.184;;1346.0;5596.0;Primary Transit;Kepler-832
Kepler-833 b;;18.7546998;2016;0.18;;421.0;4339.0;Primary Transit;Kepler-833
Kepler-834 b;;13.32388301;2016;0.18;;620.0;4554.0;Primary Transit;Kepler-834
Kepler-835 b;;11.41909375;2016;0.249;;2011.0;5954.0;Primary Transit;Kepler-835
Kepler-836 b;;11.36112327;2016;0.244;;1003.0;5895.0;Primary Transit;Kepler-836
Kepler-837 b;;16.56059504;2016;0.228;;846.0;5403.0;Primary Transit;Kepler-837
Kepler-838 b;;15.74957994;2016;0.244;;1210.0;5770.0;Primary Transit;Kepler-838
Kepler-839 b;;37.8144514;2016;0.229;;833.0;6058.0;Primary Transit;Kepler-839
Kepler-84 b;;8.726;2012;0.199;0.083;1443.27;6031.0;Primary Transit;Kepler-84
Kepler-84 c;;12.883;2012;0.211;0.108;1443.27;6031.0;Primary Transit;Kepler-84
Kepler-84 d;;4.224537;2014;0.123;0.052;1443.27;6031.0;Primary Transit;Kepler-84
Kepler-84 e;;27.434389;2014;0.232;0.181;1443.27;6031.0;Primary Transit;Kepler-84
Kepler-84 f;;44.552169;2014;0.196;0.25;1443.27;6031.0;Primary Transit;Kepler-84
Kepler-840 b;;2.49577962;2016;1.523;;778.0;5920.0;Primary Transit;Kepler-840
Kepler-841 b;;124.4198398;2016;0.467;;1052.0;5324.0;Primary Transit;Kepler-841
Kepler-842 b;;1.21956827;2016;0.143;;552.0;4848.0;Primary Transit;Kepler-842
Kepler-843 b;;2.05387982;2016;0.231;;1247.0;5830.0;Primary Transit;Kepler-843
Kepler-844 b;;2.61302086;2016;0.15;;394.0;4128.0;Primary Transit;Kepler-844
Kepler-845 b;;0.92785982;2016;0.182;;471.0;4913.0;Primary Transit;Kepler-845
Kepler-846 b;;19.80792185;2016;0.221;;1233.0;5579.0;Primary Transit;Kepler-846
Kepler-847 b;;2.3432319;2016;0.105;;529.0;4940.0;Primary Transit;Kepler-847
Kepler-848 b;;6.91134416;2016;0.152;;797.0;5695.0;Primary Transit;Kepler-848
Kepler-849 b;;394.6244904;2016;0.637;;747.0;6059.0;Primary Transit;Kepler-849
Kepler-85 b;0.0465;8.306;2012;0.176;0.07891;782.09;5436.0;Primary Transit;Kepler-85
Kepler-85 c;0.059;12.513;2012;0.194;0.10369;782.09;5436.0;Primary Transit;Kepler-85
Kepler-85 d;;17.91323;2014;0.107;0.13;782.09;5436.0;Primary Transit;Kepler-85
Kepler-85 e;;25.216751;2014;0.113;0.163;782.09;5436.0;Primary Transit;Kepler-85
Kepler-850 b;;7.19303878;2016;0.159;;1535.0;5932.0;Primary Transit;Kepler-850
Kepler-851 b;;8.50699658;2016;0.15;;869.0;5455.0;Primary Transit;Kepler-851
Kepler-852 b;;44.9309804;2016;0.227;;854.0;6100.0;Primary Transit;Kepler-852
Kepler-853 b;;7.16892463;2016;0.151;;610.0;6350.0;Primary Transit;Kepler-853
Kepler-854 b;;2.14463285;2016;1.492;;741.0;6179.0;Primary Transit;Kepler-854
Kepler-855 b;;7.8866311;2016;0.745;;1043.0;5835.0;Primary Transit;Kepler-855
Kepler-856 b;;8.02768059;2016;0.83;;1175.0;5535.0;Primary Transit;Kepler-856
Kepler-857 b;;85.35129427;2016;0.607;;1039.0;5773.0;Primary Transit;Kepler-857
Kepler-858 b;;76.13602028;2016;0.434;;296.0;5653.0;Primary Transit;Kepler-858
Kepler-859 b;;20.38177573;2016;0.276;;915.0;5020.0;Primary Transit;Kepler-859
Kepler-86 b;0.34235;282.5254;2013;0.8466;0.824;;5629.0;Primary Transit;Kepler-86
Kepler-860 b;;5.10137945;2016;0.289;;1295.0;5836.0;Primary Transit;Kepler-860
Kepler-861 b;;3.94963138;2016;0.203;;806.0;5047.0;Primary Transit;Kepler-861
Kepler-862 b;;3.14866453;2016;0.197;;806.0;5333.0;Primary Transit;Kepler-862
Kepler-863 b;;15.59461874;2016;0.259;;1145.0;5678.0;Primary Transit;Kepler-863
Kepler-864 b;;5.83376092;2016;0.214;;1573.0;5754.0;Primary Transit;Kepler-864
Kepler-865 b;;14.16399294;2016;0.222;;664.0;5570.0;Primary Transit;Kepler-865
Kepler-866 b;;2.61703254;2016;0.145;;690.0;4751.0;Primary Transit;Kepler-866
Kepler-867 b;;150.242127;2016;0.414;;824.0;5541.0;Primary Transit;Kepler-867
Kepler-868 b;;5.03251791;2016;0.183;;1269.0;5614.0;Primary Transit;Kepler-868
Kepler-869 b;;40.4287755;2016;0.322;;957.0;5664.0;Primary Transit;Kepler-869
Kepler-87 b;1.02;114.73635;2013;1.204;0.481;1277.88;5600.0;Primary Transit;Kepler-87
Kepler-87 c;0.02;191.2318;2013;0.548;0.676;1277.88;5600.0;Primary Transit;Kepler-87
Kepler-870 b;;21.3587621;2016;0.248;;1231.0;5857.0;Primary Transit;Kepler-870
Kepler-871 b;;22.0459018;2016;0.334;;1695.0;5993.0;Primary Transit;Kepler-871
Kepler-872 b;;2.57885507;2016;0.178;;1114.0;5902.0;Primary Transit;Kepler-872
Kepler-873 b;;20.5533844;2016;0.335;;1397.0;6163.0;Primary Transit;Kepler-873
Kepler-874 b;;40.0686727;2016;0.352;;1072.0;6020.0;Primary Transit;Kepler-874
Kepler-875 b;;27.5073799;2016;0.259;;1244.0;5958.0;Primary Transit;Kepler-875
Kepler-876 b;;5.14438011;2016;0.128;;735.0;5060.0;Primary Transit;Kepler-876
Kepler-877 b;;18.45847097;2016;0.189;;572.0;5261.0;Primary Transit;Kepler-877
Kepler-878 b;;25.9422033;2016;0.172;;567.0;5044.0;Primary Transit;Kepler-878
Kepler-879 b;;33.3855938;2016;0.229;;772.0;5792.0;Primary Transit;Kepler-879
Kepler-88 d;3.05;1403.0;2020;;2.464;339.0;5466.0;Radial Velocity;KOI-142
Kepler-880 b;;7.71468975;2016;0.237;;673.0;6761.0;Primary Transit;Kepler-880
Kepler-881 b;;4.44448017;2016;0.159;;1364.0;5961.0;Primary Transit;Kepler-881
Kepler-882 b;;3.98953967;2016;0.11;;525.0;5476.0;Primary Transit;Kepler-882
Kepler-883 b;;12.98495573;2016;0.159;;549.0;6116.0;Primary Transit;Kepler-883
Kepler-884 b;;5.69919514;2016;0.11;;420.0;5715.0;Primary Transit;Kepler-884
Kepler-885 b;;18.11472949;2016;0.223;;632.0;6187.0;Primary Transit;Kepler-885
Kepler-886 b;;6.24146367;2016;0.136;;857.0;6098.0;Primary Transit;Kepler-886
Kepler-887 b;;20.42228798;2016;0.164;;831.0;6194.0;Primary Transit;Kepler-887
Kepler-887 c;;7.63846023;2016;0.101;;831.0;6194.0;Primary Transit;Kepler-887
Kepler-888 b;;70.6979061;2016;0.157;;413.0;5875.0;Primary Transit;Kepler-888
Kepler-889 b;;3.744439;2016;0.097;;513.0;5961.0;Primary Transit;Kepler-889
Kepler-89 b;0.033;3.743208;2013;0.153;0.05119;483.65;6182.0;Primary Transit;KOI-94
Kepler-89 c;0.049;10.423648;2013;0.385;0.1013;483.65;6182.0;Primary Transit;KOI-94
Kepler-89 d;0.334;22.342989;2013;1.005;0.1684;483.65;6182.0;Primary Transit;KOI-94
Kepler-89 e;0.11;54.32031;2013;0.585;0.3046;483.65;6182.0;Primary Transit;KOI-94
Kepler-890 b;;52.75875577;2016;0.793;;1387.0;5954.0;Primary Transit;Kepler-890
Kepler-891 b;;53.44945593;2016;0.572;;1372.0;5887.0;Primary Transit;Kepler-891
Kepler-892 b;;13.7521072;2016;0.251;;640.0;4747.0;Primary Transit;Kepler-892
Kepler-893 b;;6.33855761;2016;0.27;;1216.0;5820.0;Primary Transit;Kepler-893
Kepler-894 b;;9.803224;2016;0.248;;1090.0;5603.0;Primary Transit;Kepler-894
Kepler-895 b;;2.80624233;2016;0.137;;516.0;4315.0;Primary Transit;Kepler-895
Kepler-896 b;;144.547396;2016;0.226;;896.0;5262.0;Primary Transit;Kepler-896
Kepler-897 b;;8.0472642;2016;0.213;;1147.0;5839.0;Primary Transit;Kepler-897
Kepler-898 b;;5.8706191;2016;0.133;;479.0;4223.0;Primary Transit;Kepler-898
Kepler-899 b;;19.17891293;2016;0.239;;1038.0;5595.0;Primary Transit;Kepler-899
Kepler-9 b;0.13655;19.23891;2010;0.74;0.143;614.0;5774.0;Primary Transit;Kepler-9
Kepler-9 c;0.09408;38.9853;2010;0.721;0.227;614.0;5774.0;Primary Transit;Kepler-9
Kepler-9 d;0.016518264481;1.592851;2010;0.146;0.0273;614.0;5774.0;Primary Transit;Kepler-9
Kepler-90 i;;14.44912;2017;0.118;0.2;780.0;6080.0;Primary Transit;KOI-351
Kepler-900 b;;6.9913086;2016;0.186;;505.0;4836.0;Primary Transit;Kepler-900
Kepler-901 b;;3.51749439;2016;0.122;;241.0;4184.0;Primary Transit;Kepler-901
Kepler-902 b;;40.1099547;2016;0.227;;904.0;5647.0;Primary Transit;Kepler-902
Kepler-903 b;;10.3507721;2016;0.179;;829.0;5682.0;Primary Transit;Kepler-903
Kepler-903 c;;62.9228557;2016;0.226;;829.0;5682.0;Primary Transit;Kepler-903
Kepler-904 b;;3.02166863;2016;0.158;;1151.0;6160.0;Primary Transit;Kepler-904
Kepler-905 b;;5.08274652;2016;0.126;;521.0;5461.0;Primary Transit;Kepler-905
Kepler-906 b;;41.6979976;2016;0.188;;758.0;6035.0;Primary Transit;Kepler-906
Kepler-907 b;;15.86621821;2016;0.107;;352.0;6106.0;Primary Transit;Kepler-907
Kepler-908 b;;1.34059747;2016;0.109;;250.0;5973.0;Primary Transit;Kepler-908
Kepler-909 b;;13.93290318;2016;0.131;;318.0;6154.0;Primary Transit;Kepler-909
Kepler-91 b;0.81;6.24658;2013;1.367;0.0731;1344.56;4550.0;Primary Transit;Kepler-91
Kepler-910 b;;2.36436901;2016;0.073;;402.0;6230.0;Primary Transit;Kepler-910
Kepler-911 b;;20.310501;2016;0.232;;567.0;6112.0;Primary Transit;Kepler-911
Kepler-912 b;;2.53475627;2016;0.25;;1265.0;5998.0;Primary Transit;Kepler-912
Kepler-913 b;;10.29672521;2016;0.184;;597.0;4687.0;Primary Transit;Kepler-913
Kepler-914 b;;4.40966548;2016;0.123;;678.0;5877.0;Primary Transit;Kepler-914
Kepler-915 b;;4.59489604;2016;0.134;;806.0;6173.0;Primary Transit;Kepler-915
Kepler-916 b;;32.2968798;2016;0.157;;769.0;5248.0;Primary Transit;Kepler-916
Kepler-917 b;;2.97041437;2016;0.17;;1027.0;5418.0;Primary Transit;Kepler-917
Kepler-918 b;;4.85386933;2016;0.155;;1245.0;6028.0;Primary Transit;Kepler-918
Kepler-919 b;;11.04603384;2016;0.201;;1219.0;6113.0;Primary Transit;Kepler-919
Kepler-92 b;0.202;13.749;2013;0.313;;484.62;5883.0;Primary Transit;Kepler-92
Kepler-92 c;0.019;26.723;2013;0.232;;484.62;5883.0;Primary Transit;Kepler-92
Kepler-92 d;;49.3568;2015;0.184;;484.62;5883.0;Primary Transit;Kepler-92
Kepler-920 b;;6.53192704;2016;0.216;;926.0;5403.0;Primary Transit;Kepler-920
Kepler-920 c;;100.8274113;2016;0.339;;926.0;5403.0;Primary Transit;Kepler-920
Kepler-921 b;;51.300634;2016;0.256;;847.0;5663.0;Primary Transit;Kepler-921
Kepler-922 b;;0.93846683;2016;0.127;;558.0;5671.0;Primary Transit;Kepler-922
Kepler-923 b;;6.93366476;2016;0.123;;966.0;5988.0;Primary Transit;Kepler-923
Kepler-924 b;;61.0370117;2016;0.274;;995.0;6167.0;Primary Transit;Kepler-924
