name;mass;orbital_period;discovered;radius;semi_major_axis;star_distance;star_teff
HATS-22 b;2.74;4.7228124;2016;0.953;0.05025;207.9;4803.0
HATS-23 b;1.47;2.1605156;2015;1.86;0.03397;747.0;5780.0
HATS-24 b;2.44;1.3484954;2016;1.487;0.02547;510.0;6346.0
HATS-25 b;0.613;4.2986432;2016;1.26;0.05163;466.0;5715.0
HATS-26 b;0.65;3.3023881;2016;1.75;0.04735;907.0;6071.0
HATS-27 b;0.53;4.637038;2016;1.5;0.0611;840.0;6438.0
HATS-28 b;0.672;3.1810781;2016;1.194;0.04131;521.0;5498.0
HATS-29 b;0.653;4.6058749;2016;1.251;0.05475;351.0;5670.0
HATS-3 b;1.071;3.547851;2013;1.381;0.0485;453.0;6351.0
HATS-30 b;0.706;3.1743516;2016;1.175;0.04354;339.0;5943.0
HATS-31 b;0.88;3.37796;2016;1.64;0.0478;872.0;6050.0
HATS-32 b;0.92;2.8126548;2016;1.249;0.04024;839.0;5700.0
HATS-33 b;1.192;2.5495551;2016;1.23;0.03727;355.0;5659.0
HATS-34 b;0.941;2.1061607;2016;1.43;0.03166;532.0;5380.0
HATS-35 b;1.222;1.8209933;2016;1.464;0.03199;557.0;6300.0
HATS-36 b;2.79;4.175186;2018;1.153;0.0523;878.65;5950.0
HATS-37A b;0.099;4.3315366;2020;0.606;0.04913;211.1;5326.0
HATS-38 b;0.074;4.375021;2020;0.614;0.05036;347.7;5732.0
HATS-39 b;0.63;4.5776348;2018;1.57;0.06;773.0;6572.0
HATS-4 b;1.323;2.516729;2014;1.02;0.0362;420.0;5403.0
HATS-40 b;1.59;3.2642736;2018;1.58;0.04997;1431.0;6460.0
HATS-41 b;9.7;4.193649;2018;1.33;0.0583;800.0;6424.0
HATS-42 b;1.88;2.292102;2018;1.4;0.03689;942.0;6060.0
HATS-43 b;0.261;4.3888497;2017;1.18;0.04944;341.0;5099.0
HATS-44 b;0.56;2.7439004;2017;1.067;0.03649;463.0;5080.0
HATS-45 b;0.7;4.1876244;2017;1.286;0.05511;818.0;6450.0
HATS-46 b;0.173;4.7423729;2017;0.903;0.05367;448.0;5495.0
HATS-47 b;0.369;3.9228038;2020;1.117;0.04269;301.7;4512.0
HATS-48A b;0.243;3.1316666;2020;0.8;0.03769;265.4;4546.0
HATS-49 b;0.353;4.1480467;2020;0.765;0.04515;324.6;4405.0
HATS-5 b;0.237;4.763387;2014;0.912;0.0542;257.0;5304.0
HATS-50 b;0.39;3.8297015;2017;1.13;0.05046;717.0;5990.0
HATS-51 b;0.768;3.3488702;2017;1.41;0.04639;478.0;5758.0
HATS-52 b;2.24;1.3665436;2017;1.382;0.02498;631.0;6010.0
HATS-53 b;0.595;3.8537768;2017;1.34;0.04753;613.0;5644.0
HATS-54 b;0.76;2.5441828;2018;1.067;0.03763;769.0;5702.0
HATS-56 b;0.602;4.324799;2018;1.688;0.06043;577.1;6536.0
HATS-57 b;3.147;2.350621;2018;1.13;0.03493;280.0;5587.0
HATS-58A b;1.03;4.2180896;2018;1.095;0.05798;492.0;7175.0
HATS-59 b;0.806;5.416081;2018;1.126;0.06112;654.0;5670.0
HATS-6 b;0.319;3.3252725;2014;0.998;0.03623;148.4;3724.0
HATS-60 b;0.662;3.560829;2018;1.153;0.04708;494.7;5690.0
HATS-61 b;3.4;7.817953;2018;1.195;0.07908;694.2;5541.0
HATS-62 b;0.179;3.2768837;2018;1.055;0.04163;515.9;5435.0
HATS-63 b;0.96;3.0566527;2018;1.207;0.04026;634.4;5626.0
HATS-64 b;0.96;4.908897;2018;1.679;0.06562;1087.0;6560.0
HATS-65 b;0.821;3.105161;2018;1.501;0.04497;491.0;6276.0
